Symbol,Atomic Number,Atomic Mass,Period,Group,Electronegativity,Covalent Radius,Atomic Radius,Nonmetal,Valency,Lone Pairs,Polarizability,Color,First Ionization,Second Ionization,Third Ionization,Fourth Ionization
H,1,1.007,1,1,2.2,31,25,TRUE,1,0,4.51,"rgb(99, 185, 213)",1312,,,
He,2,4.002,1,18,,28,120,TRUE,0,1,1.38,"rgb(209, 201, 145)",,,,
Li,3,6.941,2,1,0.98,128,145,FALSE,1,0,164,"rgb(76, 97, 104)",520.2,,,
Be,4,9.012,2,2,1.57,96,105,FALSE,2,0,37.7,"rgb(200, 200, 200)",899.5,1757.1,,
B,5,10.811,2,13,2.04,84,85,TRUE,3,0,20.5,"rgb(125, 83, 83)",800.6,2427.1,3659.7,
C,6,12.011,2,14,2.55,76,70,TRUE,4,0,11.3,"rgb(59, 59, 59)",1086.5,2352.6,4620.5,6222.7
N,7,14.007,2,15,3.04,71,65,TRUE,3,1,7.4,"rgb(44, 198, 178)",1402.3,2856,4578.1,
O,8,15.999,2,16,3.44,66,60,TRUE,2,2,5.3,"rgb(111, 236, 152)",1313.9,3388.3,,
F,9,18.998,2,17,3.98,57,50,TRUE,1,3,3.74,"rgb(236, 196, 111)",1681,,,
Ne,10,20.18,2,18,,58,160,TRUE,0,4,2.66,"rgb(190, 0, 134)",,,,
Na,11,22.99,3,1,0.93,166,180,FALSE,1,0,163,"rgb(230, 157, 122)",495.8,,,
Mg,12,24.305,3,2,1.31,141,150,FALSE,2,0,71.2,"rgb(158, 128, 234)",737.7,1450.7,,
Al,13,26.982,3,13,1.61,121,125,FALSE,3,0,58,"rgb(121, 121, 121)",577.5,1816.7,2744.8,
Si,14,28.086,3,14,1.9,111,110,TRUE,4,0,37.3,"rgb(74, 64, 112)",786.5,1577.1,3231.6,4355.5
P,15,30.974,3,15,2.19,107,100,TRUE,3,1,25,"rgb(215, 70, 63)",1011.8,1907,2914.1,
S,16,32.065,3,16,2.58,105,100,TRUE,2,2,19.4,"rgb(55, 94, 124)",999.6,2252,,
Cl,17,35.453,3,17,3.16,102,100,TRUE,1,3,14.6,"rgb(109, 29, 123)",1251.2,,,
Ar,18,39.948,3,18,,106,71,TRUE,0,4,11.1,"rgb(154, 61, 165)",,,,
