Bond E,Electronegativity,Covalent Radius,Atomic Number 1,Atomic Number 2,Atomic Mass 1,Atomic Mass 2,Period 1,Period 2,First Ionization 1,First Ionization 2,Atomic Radius 1,Atomic Radius 2
,0.0,62,1,1,1.007,1.007,1,1,13.5984,13.5984,25.0,25.0
389,0.16000000000000014,115,1,5,1.007,10.811,1,2,13.5984,8.298,25.0,85.0
411,0.34999999999999964,107,1,6,1.007,12.011,1,2,13.5984,11.2603,25.0,70.0
318,0.30000000000000027,142,1,14,1.007,28.086,1,3,13.5984,8.1517,25.0,110.0
288,0.1900000000000004,151,1,32,1.007,72.64,1,4,13.5984,7.8994,25.0,125.0
251,0.2400000000000002,170,1,50,1.007,118.71,1,5,13.5984,7.3439,25.0,145.0
386,0.8399999999999999,102,1,7,1.007,14.007,1,2,13.5984,14.5341,25.0,65.0
322,0.010000000000000231,138,1,15,1.007,30.974,1,3,13.5984,10.4867,25.0,100.0
247,0.020000000000000018,150,1,33,1.007,74.922,1,4,13.5984,9.7886,25.0,115.0
459,1.2399999999999998,97,1,8,1.007,15.999,1,2,13.5984,13.6181,25.0,60.0
363,0.3799999999999999,136,1,16,1.007,32.065,1,3,13.5984,10.36,25.0,100.0
276,0.34999999999999964,151,1,34,1.007,78.96,1,4,13.5984,9.7524,25.0,115.0
238,0.10000000000000009,169,1,52,1.007,127.6,1,5,13.5984,9.0096,25.0,140.0
565,1.7799999999999998,88,1,9,1.007,18.998,1,2,13.5984,17.4228,25.0,50.0
428,0.96,133,1,17,1.007,35.453,1,3,13.5984,12.9676,25.0,100.0
362,0.7599999999999998,151,1,35,1.007,79.904,1,4,13.5984,11.8138,25.0,115.0
295,0.45999999999999996,170,1,53,1.007,126.904,1,5,13.5984,10.4513,25.0,140.0
,0.0,168,5,5,10.811,10.811,2,2,8.298,8.298,85.0,85.0
536,1.4,150,5,8,10.811,15.999,2,2,8.298,13.6181,85.0,60.0
613,1.94,141,5,9,10.811,18.998,2,2,8.298,17.4228,85.0,50.0
456,1.12,186,5,17,10.811,35.453,2,3,8.298,12.9676,85.0,100.0
377,0.9199999999999999,204,5,35,10.811,79.904,2,4,8.298,11.8138,85.0,115.0
,0.0,152,6,6,12.011,12.011,2,2,11.2603,11.2603,70.0,70.0
318,0.6499999999999999,187,6,14,12.011,28.086,2,3,11.2603,8.1517,70.0,110.0
238,0.54,196,6,32,12.011,72.64,2,4,11.2603,7.8994,70.0,125.0
192,0.5899999999999999,215,6,50,12.011,118.71,2,5,11.2603,7.3439,70.0,145.0
130,0.21999999999999975,222,6,82,12.011,207.2,2,6,11.2603,7.4167,70.0,180.0
305,0.4900000000000002,147,6,7,12.011,14.007,2,2,11.2603,14.5341,70.0,65.0
264,0.3599999999999999,183,6,15,12.011,30.974,2,3,11.2603,10.4867,70.0,100.0
358,0.8900000000000001,142,6,8,12.011,15.999,2,2,11.2603,13.6181,70.0,60.0
356,0.5099999999999998,160,5,6,10.811,12.011,2,2,8.298,11.2603,85.0,70.0
272,0.03000000000000025,181,6,16,12.011,32.065,2,3,11.2603,10.36,70.0,100.0
485,1.4300000000000002,133,6,9,12.011,18.998,2,2,11.2603,17.4228,70.0,50.0
327,0.6100000000000003,178,6,17,12.011,35.453,2,3,11.2603,12.9676,70.0,100.0
285,0.41000000000000014,196,6,35,12.011,79.904,2,4,11.2603,11.8138,70.0,115.0
213,0.11000000000000032,215,6,53,12.011,126.904,2,5,11.2603,10.4513,70.0,140.0
,0.0,222,14,14,28.086,28.086,3,3,8.1517,8.1517,110.0,110.0
355,1.1400000000000001,182,7,14,14.007,28.086,2,3,14.5341,8.1517,65.0,110.0
452,1.54,177,8,14,15.999,28.086,2,3,13.6181,8.1517,60.0,110.0
293,0.6800000000000002,216,14,16,28.086,32.065,3,3,8.1517,10.36,110.0,100.0
565,2.08,168,9,14,18.998,28.086,2,3,17.4228,8.1517,50.0,110.0
381,1.2600000000000002,213,14,17,28.086,35.453,3,3,8.1517,12.9676,110.0,100.0
310,1.06,231,14,35,28.086,79.904,3,4,8.1517,11.8138,110.0,115.0
234,0.7600000000000002,250,14,53,28.086,126.904,3,5,8.1517,10.4513,110.0,140.0
,0.0,240,32,32,72.64,72.64,4,4,7.8994,7.8994,125.0,125.0
257,1.0300000000000002,191,7,32,14.007,72.64,2,4,14.5341,7.8994,65.0,125.0
470,1.9700000000000002,177,9,32,18.998,72.64,2,4,17.4228,7.8994,50.0,125.0
349,1.1500000000000004,222,17,32,35.453,72.64,3,4,12.9676,7.8994,100.0,125.0
276,0.9500000000000002,240,32,35,72.64,79.904,4,4,7.8994,11.8138,125.0,115.0
212,0.6500000000000004,259,32,53,72.64,126.904,4,5,7.8994,10.4513,125.0,140.0
414,2.02,196,9,50,18.998,118.71,2,5,17.4228,7.3439,50.0,145.0
323,1.2000000000000002,241,17,50,35.453,118.71,3,5,12.9676,7.3439,100.0,145.0
273,1.0,259,35,50,79.904,118.71,4,5,11.8138,7.3439,115.0,145.0
205,0.7000000000000002,278,50,53,118.71,126.904,5,5,7.3439,10.4513,145.0,140.0
331,1.65,203,9,82,18.998,207.2,2,6,17.4228,7.4167,50.0,180.0
243,0.8300000000000001,248,17,82,35.453,207.2,3,6,12.9676,7.4167,100.0,180.0
201,0.6299999999999999,266,35,82,79.904,207.2,4,6,11.8138,7.4167,115.0,180.0
142,0.33000000000000007,285,53,82,126.904,207.2,5,6,10.4513,7.4167,140.0,180.0
,0.0,142,7,7,14.007,14.007,2,2,14.5341,14.5341,65.0,65.0
201,0.3999999999999999,137,7,8,14.007,15.999,2,2,14.5341,13.6181,65.0,60.0
283,0.94,128,7,9,14.007,18.998,2,2,14.5341,17.4228,65.0,50.0
313,0.1200000000000001,173,7,17,14.007,35.453,2,3,14.5341,12.9676,65.0,100.0
,0.0,214,15,15,30.974,30.974,3,3,10.4867,10.4867,100.0,100.0
335,1.25,173,8,15,15.999,30.974,2,3,13.6181,10.4867,60.0,100.0
490,1.79,164,9,15,18.998,30.974,2,3,17.4228,10.4867,50.0,100.0
326,0.9700000000000002,209,15,17,30.974,35.453,3,3,10.4867,12.9676,100.0,100.0
264,0.77,227,15,35,30.974,79.904,3,4,10.4867,11.8138,100.0,115.0
184,0.4700000000000002,246,15,53,30.974,126.904,3,5,10.4867,10.4513,100.0,140.0
,0.0,238,33,33,74.922,74.922,4,4,9.7886,9.7886,115.0,115.0
301,1.2599999999999998,185,8,33,15.999,74.922,2,4,13.6181,9.7886,60.0,115.0
484,1.7999999999999998,176,9,33,18.998,74.922,2,4,17.4228,9.7886,50.0,115.0
322,0.98,221,17,33,35.453,74.922,3,4,12.9676,9.7886,100.0,115.0
458,0.7799999999999998,239,33,35,74.922,79.904,4,4,9.7886,11.8138,115.0,115.0
200,0.48,258,33,53,74.922,126.904,4,5,9.7886,10.4513,115.0,140.0
,0.0,278,51,51,121.76,121.76,5,5,8.6084,8.6084,145.0,145.0
440,1.9300000000000002,196,9,51,18.998,121.76,2,5,17.4228,8.6084,50.0,145.0
,0.0,132,8,8,15.999,15.999,2,2,13.6181,13.6181,60.0,60.0
190,0.54,123,8,9,15.999,18.998,2,2,13.6181,17.4228,60.0,50.0
