Bond,Bond E,Symbol,Atomic Number,Atomic Mass,Period,Group,Electronegativity,First Ionization,Covalent Radius
Al-Al,186,H,1,1.007,1,1,2.2,13.5984,31
Al-As,180,He,2,4.002,1,18,,24.5874,28
Al-Au,326,Li,3,6.941,2,1,0.98,5.3917,128
Al-Br,439,Be,4,9.012,2,2,1.57,9.3227,96
Al-C,255,B,5,10.811,2,13,2.04,8.298,84
Al-Cl,494,C,6,12.011,2,14,2.55,11.2603,76
Al-Cu,216,N,7,14.007,2,15,3.04,14.5341,71
Al-F,664,O,8,15.999,2,16,3.44,13.6181,66
Al-H,285,F,9,18.998,2,17,3.98,17.4228,57
Al-I,368,Ne,10,20.18,2,18,,21.5645,58
Al-Li,176,Na,11,22.99,3,1,0.93,5.1391,166
Al-N,297,Mg,12,24.305,3,2,1.31,7.6462,141
Al-O,512,Al,13,26.982,3,13,1.61,5.9858,121
Al-P,213,Si,14,28.086,3,14,1.9,8.1517,111
Al-Pd,259,P,15,30.974,3,15,2.19,10.4867,107
Al-S,374,S,16,32.065,3,16,2.58,10.36,105
Al-Se,334,Cl,17,35.453,3,17,3.16,12.9676,102
Al-Si,251,Ar,18,39.948,3,18,,15.7596,106
Al-Te,268,K,19,39.098,4,1,0.82,4.3407,203
Al-U,326,Ca,20,40.078,4,2,1,6.1132,176
Sb-Sb,299,Sc,21,44.956,4,3,1.36,6.5615,170
Sb-Br,314,Ti,22,47.867,4,4,1.54,6.8281,160
Sb-Cl,360,V,23,50.942,4,5,1.63,6.7462,153
Sb-F,439,Cr,24,51.996,4,6,1.66,6.7665,139
Sb-N,301,Mn,25,54.938,4,7,1.55,7.434,139
Sb-O,372,Fe,26,55.845,4,8,1.83,7.9024,132
Sb-P,357,Co,27,58.933,4,9,1.88,7.881,126
Sb-S,379,Ni,28,58.693,4,10,1.91,7.6398,124
Sb-Te,277.4,Cu,29,63.546,4,11,1.9,7.7264,132
As-As,382,Zn,30,65.38,4,12,1.65,9.3942,122
As-Cl,448,Ga,31,69.723,4,13,1.81,5.9993,122
As-Ga,209.6,Ge,32,72.64,4,14,2.01,7.8994,120
As-H,272,As,33,74.922,4,15,2.18,9.7886,119
As-N,582,Se,34,78.96,4,16,2.55,9.7524,120
As-O,481,Br,35,79.904,4,17,2.96,11.8138,120
As-P,534,Kr,36,83.798,4,18,3,13.9996,116
As-Se,96,Rb,37,85.468,5,1,0.82,4.1771,220
As-Tl,198,Sr,38,87.62,5,2,0.95,5.6949,195
Ba-Br,370,Y,39,88.906,5,3,1.22,6.2173,190
Ba-Cl,444,Zr,40,91.224,5,4,1.33,6.6339,175
Ba-F,487,Nb,41,92.906,5,5,1.6,6.7589,164
Ba-I,431,Mo,42,95.96,5,6,2.16,7.0924,154
Ba-O,563,Tc,43,98,5,7,1.9,7.28,147
Ba-S,400,Ru,44,101.07,5,8,2.2,7.3605,146
Be-Be,59,Rh,45,102.906,5,9,2.28,7.4589,142
Be-Br,381,Pd,46,106.42,5,10,2.2,8.3369,139
Be-Cl,388,Ag,47,107.868,5,11,1.93,7.5762,145
Be-F,577,Cd,48,112.411,5,12,1.69,8.9938,144
Be-H,226,In,49,114.818,5,13,1.78,5.7864,142
Be-O,448,Sn,50,118.71,5,14,1.96,7.3439,139
Be-S,372,Sb,51,121.76,5,15,2.05,8.6084,139
Bi-Bi,197,Te,52,127.6,5,16,2.1,9.0096,138
Bi-Br,267,I,53,126.904,5,17,2.66,10.4513,139
Bi-Cl,305,Xe,54,131.293,5,18,2.6,12.1298,140
Bi-F,259,Cs,55,132.905,6,1,0.79,3.8939,244
Bi-Ga,159,Ba,56,137.327,6,2,0.89,5.2117,215
Bi-H,279,La,57,138.905,6,3,1.1,5.5769,207
Bi-O,343,Ce,58,140.116,6,0,1.12,5.5387,204
Bi-P,280,Pr,59,140.908,6,0,1.13,5.473,203
Bi-Pb,142,Nd,60,144.242,6,0,1.14,5.525,201
Bi-S,316,Pm,61,145,6,0,1.13,5.582,199
Bi-Sb,251,Sm,62,150.36,6,0,1.17,5.6437,198
Bi-Se,280,Eu,63,151.964,6,0,1.2,5.6704,198
Bi-Te,232,Gd,64,157.25,6,0,1.2,6.1501,196
Bi-Tl,121,Tb,65,158.925,6,0,1.2,5.8638,194
B-B,297,Dy,66,162.5,6,0,1.22,5.9389,192
B-Br,435,Ho,67,164.93,6,0,1.23,6.0215,192
B-C,448,Er,68,167.259,6,0,1.24,6.1077,189
B-Cl,536,Tm,69,168.934,6,0,1.25,6.1843,190
B-F,766,Yb,70,173.054,6,0,1.1,6.2542,187
B-H,330,Lu,71,174.967,6,0,1.27,5.4259,175
B-I,384,Hf,72,178.49,6,4,1.3,6.8251,187
B-N,389,Ta,73,180.948,6,5,1.5,7.5496,170
B-O,806,W,74,183.84,6,6,2.36,7.864,162
B-P,347,Re,75,186.207,6,7,1.9,7.8335,151
B-S,581,Os,76,190.23,6,8,2.2,8.4382,144
B-Se,462,Ir,77,192.217,6,9,2.2,8.967,141
B-Si,289,Pt,78,195.084,6,10,2.28,8.9587,136
B-Te,354,Au,79,196.967,6,11,2.54,9.2255,136
Br-Br,193.87,Hg,80,200.59,6,12,2,10.4375,132
Br-C,280,Tl,81,204.383,6,13,2.04,6.1082,145
Br-Cl,218.84,Pb,82,207.2,6,14,2.33,7.4167,146
Br-F,233.8,Bi,83,208.98,6,15,2.02,7.2856,148
Br-N,276,Po,84,210,6,16,2,8.417,140
Br-O,235.1,At,85,210,6,17,2.2,9.3,150
Cd-Cd,11.3,Rn,86,222,6,18,2.2,10.7485,150
Cd-Br,159,Fr,87,223,7,1,0.7,4.0727,260
Cd-Cl,206.7,Ra,88,226,7,2,0.9,5.2784,221
Cd-F,305,Ac,89,227,7,3,1.1,5.17,215
Cd-H,69,Th,90,232.038,7,0,1.3,6.3067,206
Cd-I,138,Pa,91,231.036,7,0,1.5,5.89,200
Cd-In,138,U,92,238.029,7,0,1.38,6.1941,196
Cd-O,142,Np,93,237,7,0,1.36,6.2657,190
Cd-S,196,Pu,94,244,7,0,1.28,6.0262,187
Cd-Se,310,Am,95,243,7,0,1.3,5.9738,180
Ca-Ca,14.98,Cm,96,247,7,0,1.3,5.9915,169
Ca-Br,321,Bk,97,247,7,0,1.3,6.1979,168
Ca-Cl,398,Cf,98,251,7,0,1.3,6.2817,168
Ca-F,527,Es,99,252,7,0,1.3,6.42,165
Ca-H,167.8,Fm,100,257,7,0,1.3,6.5,167
Ca-I,285,Md,101,258,7,0,1.3,6.58,173
Ca-O,464,No,102,259,7,0,1.3,6.65,176
Ca-S,314,Lr,103,262,7,0,,,161
C-C,607,Rf,104,261,7,4,,,157
C-Cl,397,Db,105,262,7,5,,,149
C-F,536,Sg,106,266,7,6,,,143
C-H,337.2,Bh,107,264,7,7,,,141
C-I,209,Hs,108,267,7,8,,,134
C-N,770,Mt,109,268,7,9,,,129
C-O,1076.5,Ds,110,271,7,10,,,128
C-P,513,Rg,111,272,7,11,,,121
C-S,699,Cn,112,285,7,12,,,122
C-Se,582,Nh,113,284,7,13,,,136
Ce-Ce,243,Fl,114,289,7,14,,,143
Ce-F,582,Mc,115,288,7,15,,,162
Ce-N,519,Lv,116,292,7,16,,,175
Ce-O,795,Ts,117,295,7,17,,,165
Ce-S,573,Og,118,294,7,18,,,157
Ce-Se,495,,,,,,,,
Ce-Te,389,,,,,,,,
Cs-Cs,41.75,,,,,,,,
Cs-Br,397.5,,,,,,,,
Cs-Cl,439,,,,,,,,
Cs-F,514,,,,,,,,
Cs-H,178.1,,,,,,,,
Cs-I,339,,,,,,,,
Cs-O,297,,,,,,,,
Cl-Cl,242.58,,,,,,,,
Cl-C,338,,,,,,,,
Cl-F,250.54,,,,,,,,
Cl-N,389,,,,,,,,
Cl-O,272,,,,,,,,
Cl-P,289,,,,,,,,
Cr-Cr,155,,,,,,,,
Cr-Br,328,,,,,,,,
Cr-Cl,366,,,,,,,,
Cr-Cu,155,,,,,,,,
Cr-F,437,,,,,,,,
Cr-Ge,170,,,,,,,,
Cr-H,280,,,,,,,,
Cr-I,287,,,,,,,,
Cr-N,378,,,,,,,,
Cr-O,427,,,,,,,,
Cr-S,339,,,,,,,,
Co-Co,167,,,,,,,,
Co-Br,331,,,,,,,,
Co-Cl,398,,,,,,,,
Co-Cu,162,,,,,,,,
Co-F,435,,,,,,,,
Co-Ge,239,,,,,,,,
Co-I,235,,,,,,,,
Co-O,368,,,,,,,,
Co-S,343,,,,,,,,
Cu-Cu,202,,,,,,,,
Cu-Br,331,,,,,,,,
Cu-Cl,383,,,,,,,,
Cu-F,431,,,,,,,,
Cu-Ga,216,,,,,,,,
Cu-Ge,209,,,,,,,,
Cu-H,280,,,,,,,,
Cu-I,197,,,,,,,,
Cu-Ni,206,,,,,,,,
Cu-O,343,,,,,,,,
Cu-S,285,,,,,,,,
Cu-Se,293,,,,,,,,
Cu-Sn,177,,,,,,,,
Cu-Te,176,,,,,,,,
Cm-O,736,,,,,,,,
Dy-F,527,,,,,,,,
Dy-O,611,,,,,,,,
Dy-Se,322,,,,,,,,
Dy-Te,234,,,,,,,,
Er-F,565,,,,,,,,
Er-O,611,,,,,,,,
Er-S,418,,,,,,,,
Er-Se,326,,,,,,,,
Er-Te,239,,,,,,,,
Eu-Eu,33.5,,,,,,,,
Eu-Cl,326,,,,,,,,
Eu-F,528,,,,,,,,
Eu-O,557,,,,,,,,
Eu-S,364,,,,,,,,
Eu-Se,301,,,,,,,,
Eu-Te,243,,,,,,,,
F-F,156.9,,,,,,,,
F-F,251,,,,,,,,
F-N,301,,,,,,,,
Gd-F,590,,,,,,,,
Gd-O,716,,,,,,,,
Gd-S,525,,,,,,,,
Gd-Se,431,,,,,,,,
Ga-Ga,138,,,,,,,,
Ga-Br,444,,,,,,,,
Ga-Cl,481,,,,,,,,
Ga-F,577,,,,,,,,
Ga-H,274,,,,,,,,
Ga-I,339,,,,,,,,
Ga-O,285,,,,,,,,
Ga-P,230,,,,,,,,
Ga-Sb,209,,,,,,,,
Ga-Te,251,,,,,,,,
Ge-Ge,274,,,,,,,,
Ge-Br,255,,,,,,,,
Ge-Cl,431.8,,,,,,,,
Ge-F,485,,,,,,,,
Ge-H,321.3,,,,,,,,
Ge-O,662,,,,,,,,
Ge-S,551,,,,,,,,
Ge-Se,490,,,,,,,,
Ge-Si,301,,,,,,,,
Ge-Te,402,,,,,,,,
Au-Au,221.3,,,,,,,,
Au-B,368,,,,,,,,
Au-Be,285,,,,,,,,
Au-Bi,293,,,,,,,,
Au-Cl,343,,,,,,,,
Au-Co,215,,,,,,,,
Au-Cr,215,,,,,,,,
Au-Cu,232,,,,,,,,
Au-Fe,187,,,,,,,,
Au-Ga,294,,,,,,,,
Au-Ge,277,,,,,,,,
Au-H,314,,,,,,,,
Au-La,80,,,,,,,,
Au-Li,68,,,,,,,,
Au-Mg,243,,,,,,,,
Au-Mn,185,,,,,,,,
Au-Ni,274,,,,,,,,
Au-Pb,130,,,,,,,,
Au-Pd,143,,,,,,,,
Au-Rh,231,,,,,,,,
Au-S,418,,,,,,,,
Au-Si,312,,,,,,,,
Au-Sn,244,,,,,,,,
Au-Te,247,,,,,,,,
Au-U,318,,,,,,,,
Hf-C,548,,,,,,,,
Hf-N,534,,,,,,,,
Hf-O,791,,,,,,,,
H-H,436.002,,,,,,,,
H-Br,365.7,,,,,,,,
H-C,337.2,,,,,,,,
H-Cl,431.8,,,,,,,,
H-F,568.6,,,,,,,,
H-I,298.7,,,,,,,,
H-N,314,,,,,,,,
H-O,428,,,,,,,,
H-P,343,,,,,,,,
H-S,344,,,,,,,,
H-Se,305,,,,,,,,
H-Si,298.49,,,,,,,,
H-Te,268,,,,,,,,
In-In,100,,,,,,,,
In-Br,418,,,,,,,,
In-Cl,439,,,,,,,,
In-F,506,,,,,,,,
In-O,360,,,,,,,,
In-P,197.9,,,,,,,,
In-S,289,,,,,,,,
In-Sb,152,,,,,,,,
In-Se,247,,,,,,,,
In-Te,218,,,,,,,,
I-I,152.549,,,,,,,,
I-Br,179.1,,,,,,,,
I-Cl,213.3,,,,,,,,
I-F,280,,,,,,,,
I-N,159,,,,,,,,
I-O,184,,,,,,,,
Ir-O,352,,,,,,,,
Ir-Si,463,,,,,,,,
Fe-Fe,100,,,,,,,,
Fe-Br,247,,,,,,,,
Fe-Cl,352,,,,,,,,
Fe-O,409,,,,,,,,
Fe-S,339,,,,,,,,
Fe-Si,297,,,,,,,,
Kr-Kr,5.4,,,,,,,,
Kr-F,54,,,,,,,,
La-La,247,,,,,,,,
La-C,506,,,,,,,,
La-F,598,,,,,,,,
La-N,519,,,,,,,,
La-O,799,,,,,,,,
La-S,577,,,,,,,,
Pb-Pb,339,,,,,,,,
Pb-Br,247,,,,,,,,
Pb-Cl,301,,,,,,,,
Pb-F,356,,,,,,,,
Pb-H,176,,,,,,,,
Pb-I,197,,,,,,,,
Pb-O,378,,,,,,,,
Pb-S,346,,,,,,,,
Pb-Se,303,,,,,,,,
Pb-Te,251,,,,,,,,
Li-Li,106,,,,,,,,
Li-Br,423,,,,,,,,
Li-Cl,469,,,,,,,,
Li-F,577,,,,,,,,
Li-H,247,,,,,,,,
Li-I,352,,,,,,,,
Li-Na,88,,,,,,,,
Li-O,341,,,,,,,,
Lu-Lu,142,,,,,,,,
Lu-F,569,,,,,,,,
Lu-O,695,,,,,,,,
Lu-S,507,,,,,,,,
Lu-Te,326,,,,,,,,
Mg-Mg,8.522,,,,,,,,
Mg-Br,297,,,,,,,,
Mg-Cl,318,,,,,,,,
Mg-F,462,,,,,,,,
Mg-H,197,,,,,,,,
Mg-I,285,,,,,,,,
Mg-O,394,,,,,,,,
Mg-S,310,,,,,,,,
Mn-Mn,42,,,,,,,,
Mn-Br,314,,,,,,,,
Mn-Cl,361,,,,,,,,
Mn-F,423,,,,,,,,
Mn-I,283,,,,,,,,
Mn-Cu,159,,,,,,,,
Mn-O,402,,,,,,,,
Mn-S,301,,,,,,,,
Mn-Se,201,,,,,,,,
Hg-Hg,17.2,,,,,,,,
Hg-Br,72.8,,,,,,,,
Hg-Cl,100,,,,,,,,
Hg-F,130,,,,,,,,
Hg-H,39.8,,,,,,,,
Hg-I,38,,,,,,,,
Hg-K,8.24,,,,,,,,
Hg-Na,6.7,,,,,,,,
Hg-S,213,,,,,,,,
Mo-I,372,,,,,,,,
Mo-O,607,,,,,,,,
Nd-F,545,,,,,,,,
Nd-O,703,,,,,,,,
Nd-S,474,,,,,,,,
Nd-Se,385,,,,,,,,
Nd-Te,305,,,,,,,,
Ne-Ne,3.93,,,,,,,,
Np-O,720,,,,,,,,
Ni-Ni,261.9,,,,,,,,
Ni-Br,360,,,,,,,,
Ni-Cl,372,,,,,,,,
Ni-F,435,,,,,,,,
Ni-H,289,,,,,,,,
Ni-I,293,,,,,,,,
Ni-O,391.6,,,,,,,,
Ni-S,360,,,,,,,,
Ni-Si,318,,,,,,,,
Nb-O,753,,,,,,,,
N-N,945.33,,,,,,,,
N-Br,276,,,,,,,,
N-Cl,389,,,,,,,,
N-F,301,,,,,,,,
N-I,159,,,,,,,,
N-O,630.57,,,,,,,,
N-P,617,,,,,,,,
N-S,464,,,,,,,,
O-O,498.34,,,,,,,,
O-Br,235.1,,,,,,,,
O-Cl,272,,,,,,,,
O-F,222,,,,,,,,
O-I,184,,,,,,,,
O-N,630.57,,,,,,,,
Pd-O,234,,,,,,,,
P-P,490,,,,,,,,
P-Br,266.5,,,,,,,,
P-C,513,,,,,,,,
P-Cl,289,,,,,,,,
P-F,439,,,,,,,,
P-H,343,,,,,,,,
P-N,617,,,,,,,,
P-O,596.6,,,,,,,,
P-S,346,,,,,,,,
P-Se,363,,,,,,,,
P-Te,298,,,,,,,,
Pt-B,478,,,,,,,,
Pt-H,352,,,,,,,,
Pt-O,347,,,,,,,,
Pt-P,417,,,,,,,,
Pt-Si,501,,,,,,,,
K-K,57.3,,,,,,,,
K-Br,383,,,,,,,,
K-Cl,427,,,,,,,,
K-F,497.5,,,,,,,,
K-H,183,,,,,,,,
K-I,331,,,,,,,,
K-Na,63.6,,,,,,,,
K-O,239,,,,,,,,
Pr-F,582,,,,,,,,
Pr-O,753,,,,,,,,
Pr-S,492.5,,,,,,,,
Pr-Se,446,,,,,,,,
Pr-Te,326,,,,,,,,
Pm-F,540,,,,,,,,
Pm-O,674,,,,,,,,
Pm-S,423,,,,,,,,
Pm-Se,339,,,,,,,,
Pm-Te,255,,,,,,,,
Ra-Cl,343,,,,,,,,
Rh-Rh,285,,,,,,,,
Rh-B,476,,,,,,,,
Rh-C,583.7,,,,,,,,
Rh-O,377,,,,,,,,
Rh-Si,395,,,,,,,,
Rh-Ti,391,,,,,,,,
Rb-Rb,45.6,,,,,,,,
Rb-Br,389,,,,,,,,
Rb-Cl,448,,,,,,,,
Rb-F,494,,,,,,,,
Rb-H,167,,,,,,,,
Rb-I,335,,,,,,,,
Rb-O,255,,,,,,,,
Ru-O,481,,,,,,,,
Ru-Si,397,,,,,,,,
Ru-Th,592,,,,,,,,
Sm-Cl,423,,,,,,,,
Sm-F,531,,,,,,,,
Sm-O,619,,,,,,,,
Sm-S,389,,,,,,,,
Sm-Se,331,,,,,,,,
Sm-Te,272,,,,,,,,
Sc-Sc,163,,,,,,,,
Sc-Br,444,,,,,,,,
Sc-C,393,,,,,,,,
Sc-Cl,318,,,,,,,,
Sc-F,589,,,,,,,,
Sc-N,469,,,,,,,,
Sc-O,674,,,,,,,,
Sc-S,478,,,,,,,,
Sc-Se,385,,,,,,,,
Sc-Te,289,,,,,,,,
Se-Se,332.6,,,,,,,,
Se-Br,297,,,,,,,,
Se-C,582,,,,,,,,
Se-Cl,322,,,,,,,,
Se-F,339,,,,,,,,
Se-H,305,,,,,,,,
Se-N,381,,,,,,,,
Se-O,423,,,,,,,,
Se-P,364,,,,,,,,
Se-S,381,,,,,,,,
Se-Si,531,,,,,,,,
Se-Te,268,,,,,,,,
Si-Si,327,,,,,,,,
Si-Br,343,,,,,,,,
Si-C,435,,,,,,,,
Si-Cl,456,,,,,,,,
Si-F,540,,,,,,,,
Si-H,298.49,,,,,,,,
Si-I,339,,,,,,,,
Si-N,439,,,,,,,,
Si-O,798,,,,,,,,
Si-S,619,,,,,,,,
Si-Se,531,,,,,,,,
Si-Te,506,,,,,,,,
Ag-Ag,163,,,,,,,,
Ag-Au,203,,,,,,,,
Ag-Bi,193,,,,,,,,
Ag-Br,293,,,,,,,,
Ag-Cl,341.4,,,,,,,,
Ag-Cu,176,,,,,,,,
Ag-F,354,,,,,,,,
Ag-Ga,180,,,,,,,,
Ag-Ge,175,,,,,,,,
Ag-H,226,,,,,,,,
Ag-I,234,,,,,,,,
Ag-In,176,,,,,,,,
Ag-O,213,,,,,,,,
Ag-Sn,136,,,,,,,,
Ag-Te,293,,,,,,,,
Na-Na,77,,,,,,,,
Na-Br,370,,,,,,,,
Na-Cl,410,,,,,,,,
Na-F,481,,,,,,,,
Na-H,201,,,,,,,,
Na-I,301,,,,,,,,
Na-K,63.6,,,,,,,,
Na-O,257,,,,,,,,
Na-Rb,59,,,,,,,,
Sr-Br,332,,,,,,,,
Sr-Cl,406,,,,,,,,
Sr-F,542,,,,,,,,
Sr-H,163,,,,,,,,
Sr-I,263,,,,,,,,
Sr-O,454,,,,,,,,
Sr-S,314,,,,,,,,
S-S,429,,,,,,,,
S-Cl,255,,,,,,,,
S-F,343,,,,,,,,
S-N,464,,,,,,,,
S-O,521.7,,,,,,,,
